화랑도	hwarangdo
롤리타	lollit'a
톍	t'ek
좏	chwak
자암	chaam
호병	hobyŏng
봐요!	pwayo!
되는가	toenŭn'ga
모든	modŭn
쒉	sswŏk
놀잇감	norikkam
덕규	tŏkkyu
쭔	tchul
범주	pŏmju
미-중	mi-chung
송호	songho
명익	myŏngik
뀔	kkwil
쟘	cham
인물집	inmulchip
안보리	anbori
텄	t'ŏt
경제를	kyŏnjerŭl
쒨	sswel
일반	ilban
조너선	chonŏsŏn
푹	p'uk
홍근	honggŭn
역사	yŏksa
소설집．	sosŏlchip.
반역자	panyŏkcha
분열	punyŏl
은밀한	ŭnmirhan
희문	hŭimun
일지	ilchi
궁전	kungjŏn
모리야	moriya
헤럴드	herŏltŭ
쉫	swe
아프니까	ap'ŭnikka
청년회	ch'ŏngnyŏnhoe
운형	unhyŏng
해왔는가	haewannŭn'ga
지탁	chit'ak
철진	ch'ŏlchin
유치원	yuch'iwŏn
경숙	kyŏngsuk
창림	ch'angnim
1989년	1989-yŏn
뒤안	twian
상홍	sanghong
자운영	chaunyŏng
텔링	t'elling
학부모	hakpumo
자동차	chadongch'a
빐	pil
쉏	swŏ
명시가.	myŏngsiga.
첩	ch'ŏp
정결한	chŏnggyŏrhan
동양	tongyang
목	mok
무속고	musokko
펼	p'yŏl
엙	ek
카운티	k'aunt'i
맜	mat
지게	chige
쀁	ppwŏt
희중	hŭijung
미쩰	mitchel
헤론	heron
봉순	pongsun
2000명	2000-myŏng
베레잔	berejan
툌	t'oek
뿷	ppwŏl
쩟	tchŏt
저임금	chŏimgŭm
유나	yuna
일자리	ilchari
묑	moeng
킝	k'ing
욢	yop
꽏	kkwat
텾	t'ŏt
블랙	pŭllaek
엇물림	ŏnmullim
경적	kyŏngjŏk
지심도	chisimdo
바닷길	padatkil
모로하시	morohasi
통원	t'ongwŏn
집회	chiphoe
햣	hyat
토모지	t'omoji
적응력	chŏgŭngnyŏk
환경적	hwanʼgyŏngjŏk
용파	yongp'a
뫑	mwal
기원전	kiwŏnjŏn
뵠	poek
붙잡다	putchapta
본한	ponhan
셰익스피어	syeiksŭp'iŏ
잣	chat
"""진인"""	"""chinin"""
호현	hohyŏn
졩	cheng
만들어진	mandŭrŏjin
인훈	inhun
부여사	puyŏsa
년표.	yŏnp'yo.
승조	sŭngjo
중립성	chungnipsŏng
해동	haedong
먔	myat
쀰	ppwim
일승	ilsŭng
모나코	monak'o
방헌	panghŏn
씰	ssil
빙점	pingchŏm
적교	chŏkkyo
참선	ch'amsŏn
썷	ssŏl
빔	pim
향한	hyanghan
발달권	paltalkwŏn
철순	ch'ŏlsun
똬	ttwa
동역자	tongyŏkcha
종은	chongŭn
굷	kup
뉺	yun
추모집	ch'umojip
제조업체	chejoŏpch'e
기업체	kiŏpch'e
쑙	ssyop
8일간	8-ilgan
장시조	changsijo
로만	roman
구섭	kusŏp
분황	punhwang
프란시스코	p'ŭransisŭk'o
건넜	kŏnnŏn
하루나기	harunagi
문맹자들	munmaengjadŭl
퍉	p'yan
쟁탈전	chaengt'alchŏn
강수	kangsu
발전주의	palchŏnjuŭi
열어라	yŏrŏra
형관	hyŏnggwan
만나자	mannaja
홏	hot
집현전	chiphyŏnjŏn
밑천	mitch'ŏn
애국가	aegukka
외발	oebal
고취	koch'wi
뷴	pyun
도학적	tohakchŏk
산딸기	santtalgi
녞	yek
핰	hak
11집	11-chip
처방서	ch'ŏbangsŏ
흥주	hŭngju
보편적	pop'yŏnjŏk
우규	ugyu
석순	sŏksun
23인	23-in
뼥	ppyek
낙주	nakchu
정예	chŏngye
뻆	ppyaep
쓰신다	ssŭsinda
쒇	sswŏt
렃	nŏt
면구	myŏngu
붶	pwŏp
보았나!	poanna!
예속	yesok
다이아몬드	daiamondŭ
종횡담	chonghoengdam
저구	chŏgu
철만	ch'ŏlman
충성	ch'ungsŏng
튊	t'wim
진채	chinch'ae
처사	ch'ŏsa
풍악	p'ungak
재금	chaegŭm
왜소	waeso
"""비화"	"""pihwa"
희갑	hŭigap
아키라	ak'ira
삖	ppin
불가사리	pulgasari
나무	namu
즜	chŭt
쌷	ssyat
묻고	mutko
되어라	toeŏra
'노벨'	'nobel'
헙	hŏp
머나먼	mŏnamŏn
소송론	sosongnon
연금	yŏn'gŭm
스트리밍	sŭt'ŭriming
워렌	wŏren
높고	nopko
핏줄	p'itchul
배미	paemi
축산	ch'uksan
중견국	chunggyŏn'guk
멇	mŏl
맓	map
목가	mokka
양귀비	yanggwibi
깠	kkat
화냥년	hwanyangnyŏn
궁정	kungjŏng
임복	imbok
식품	sikp'um
모살기	mosalgi
준양	chunyang
영운	yŏngun
영초	yŏngch'o
꺗	kkyat
부강한	puganghan
뉐	nwet
경선제	kyŏngsŏnje
록	nok
빞	pip
자율	chayul
연작	yŏnjak
지혜	chihye
혁모	hyŏngmo
한-EU	han-eu
성인전	sŏinjŏn
텔리비전	t'ellibijŏn
자란다	charanda
걷어낸	kŏdŏnaen
1004개	1004-kae
불혹	purhok
필요	p'iryo
세고	sego
가해	kahae
운명	unmyŏng
키드	k'idŭ
가리키면	karik'imyŏn
메르스	merŭsŭ
윤순	yunsun
학력	hangnyŏk
하는	hanŭn
쨎	tchaet
리스크-외교	risŭk'ŭ-oegyo
민환	minhwan
녹두	noktu
파행적	p'ahaengjŏk
들고	tŭlgo
낚	nak
뽕짝	ppongtchak
가둑나무	kaduknamu
기돈	kidon
홳	hwaek
설희	sŏrhŭi
학유	hagyu
습	sŭp
38도	samsipp'alto
베르	berŭ
뷹	pyuk
읠	ŭil
성공한	sŏnggonghan
펶	p'yŏk
갈피	kalp'i
각성	kaksŏng
네티즌	net'ijŭn
겜	kem
꺋	kkyat
팥쥐	p'atchwi
바퀴	pak'wi
1901년	1901-yŏn
엦	et
물음	murŭm
얇은	yalbŭn
독점	tokchŏm
환구	hwan'gu
환국	hwanguk
연구자	yŏnʼguja
괩	kwaep
알라딘	alladin
유명인	yumyŏngin
대나무	taenamu
놂	nom
자유인	chayuin
빹	ppat
안톤	ant'on
랷	yak
일까?	ilkka?
삌	ppŭik
만성	mansŏng
룃	noet
지속성	chisoksŏng
지개	chigae
지추	chich'u
덕봉	tŏkpong
여호'	yŏho'
젺	chŏk
비나리	pinari
쳁	ch'el
여러분	yŏrŏbun
해답	haedap
철학적	ch'ŏrhakchŏk
메뉴	menyu
수축	kuch'uk
돈성	tonsŏng
공략'	kongnyak'
세르주	serŭju
노동당	nodongdang
뀬	kkyun
혼합	honhap
퇴진	t'oejin
중국・대만	chungguk-taeman
기술론	kisullon
츊	ch'un
접촉	chŏpch'ok
재료	chaeryo
경쟁'	kyŏngjaeng'
뢓	nwa
봤다	pwatta
둪	tup
리바아	libia
뚗	ttyot
윤생	yunsaeng
채널	ch'aenŏl
경구	kyŏnggu
문화학적	munhwahakchŏk
왲	waet
찐	tchin
혜련	hyeyŏn
미치가미	mich'igami
번데기	pŏndaegi
굴복한	kulbokhan
가르고	karŭgo
번역물	pŏnyŏngmul
개요	kaeyo
식인종	siginjong
켎	k'ep
규영	kyuyŏng
룯	nut
해상법	haesangpŏp
희숙	hŭisuk
유편	yup'yŏn
처분	ch'ŏbun
밝게	palke
부드러운	pudŭrŏun
이벤트	ibent'ŭ
뵳	pyol
경범	kyŏngbŏm
옥위	ogwi
한가락	han'garak
닿을	taŭl
습관	sŭpkwan
슻	sŭt
킧	k'ik
심다	simta
밀정	milchŏng
붙여	puchʼyŏ
박물학	pangmurhak
콤퓨터	k'omp'yut'ŏ
시나리오	sinario
해부학	haebuhak
아스팔트	asŭp'alt'ŭ
경계인	kyŏnggyein
욱한	ukhan
늅	yup
즐겨라	chŭlgyŏra
곍	kyek
북두	puktu
디자이너	tijainŏ
밁	mik
피안	p'ian
대마도	taemado
혏	hyŏl
취약지	ch'wiyakchi
졸업생들	chorŏpsaengdŭl
"""대동"	"""taedong"
웰빙	welbing
듽	tin
소수성	sosusŏng
세대	sedae
줹	chwen
옛적	yetchŏk
병도	pyŏngdo
백마	paengma
허상	hŏsang
임원	imwŏn
현상학	hyŏnsanghak
운동.	undong.
굏	koe
관문.	kwanmun.
캬	k'ya
어울리는	ŏullinŭn
빊	pin
미스매치	misŭmaech'i
문헌집	munhŏnjip
헣	hŏ
향유	hyangyu
훬	hwŏl
갤	kael
93인	93-in
윌리암	william
럯	nŏk
서늘	sŏnŭl
기동	kidong
유물전	yumuljŏn
문학지	munhakchi
짧	tchap
대업	taeŏp
풍산	p'ungsan
유한당	yuhandang
라틴	lat'in
쩨	tche
모사도	mosado
뜪	ttŭk
87인	87-in
1900년-1960년대	1900-yŏn-1960-yŏndae
망해	manghae
희익	hŭiik
컣	k'yae
의료사	ŭiryosa
서평가	sŏp'yŏngka
철학도	ch'ŏrhakto
솟	sot
짍	chil
한근	hangŭn
역사와	yŏksawa
공적	kongchŏk
포괄	p'ogwal
혋	hyŏp
석개울	sŏkkaeul
곡식	koksik
통화	t'onghwa
완용	wanyong
폍	p'yŏt
뜣	ttyut
쳊	ch'et
뿍	ppuk
남벌	nambŏl
헌정사	hŏnjŏngsa
활.	hwal
10번	10-pŏn
희봉	hŭibong
륾	nŭm
금동불.	kŭmdongbul.
뜇	ttwit
병래	pyŏngnae
회개	hoegae
본당	pondang
에밀	emil
시자	sija
말들	maldŭl
픽처	p'ikch'ŏ
광중	kwangjung
상업법	sangŏppŏp
여러분들	yŏrŏbundŭl
픡	p'ik
밀경소	milgyŏngso
국가주의	kukkajuŭi
메모광들	memogwangdŭl
시원설	siwŏnsŏl
월행	wŏrhaeng
봉선화	pongsŏnhwa
되나	toena
이는가	inŭn'ga
퍋	p'yat
궁중	kungjung
킍	k'in
륶	nŭk
맱	mael
퀳	k'we
현쥡	hyŏnjang
굻	kul
땅끝	ttangkkŭt
공문서	kongmunsŏ
태지	t'aeji
사원.	sawŏn.
페르시아	p'erŭsia
투자처	t'ujach'ŏ
여인상.	yŏinsang.
스터전	sŭt'ŏjŏn
생물.	saengmul
샔	sael
석휘	sŏkhwi
소라	sora
저서	chŏsŏ
세분	sebun
42년간	42-yŏn'gan
석준	sŏkchun
돦	twan
원호	wŏnho
명재	myŏngjae
걱정들	kŏkchŏngdŭl
25년	25-yŏn
엸	yŏl
차상	ch'asang
고쳐야지	koch'yŏyaji
히카에초우	hik'aech'ou
옥상	oksang
체류기	ch'eryugi
명삼	myŏngsam
숭배	sungbae
사이더	saidŏ
발원	parwŏn
훜	huk
'개방성'	'kaebangsŏng'
긔	ki
방방	pangbang
검증	kŏmjŭng
재선	chaesŏn
녾	non
릲	in
권우	kwŏnu
꽃씨	kkotssi
홍신	hongsin
향적산	hyangjŏksan
여정'	yŏjŏng'
매방	maebang
의병	ŭibyŏng
철학'	ch'ŏrhak'
큳	k'ŭt
와사비	wasabi
위한	wihan
이것	igŏt
명쾌	myŏngk'wae
아현동	ahyŏn-dong
옥루몽	ongnumong
뉪	nwip
얬	yaet
지재권	chijaekwŏn
종결법	chonggyŏlpŏp
신시	sinsi
일순	ilsun
빚어준	pijŏjun
썾	ssŏt
퐪	p'waen
원류	wŏllyu
볤	pyel
안나라수마나라	annarasumanara
상여	sangyŏ
77인	77-in
무역학	muyŏkhak
용직	yongjik
둂	top
횰	hyol
홊	hop
스퀘어	sŭk'weŏ
젠더사	chendŏsa
쁧	ppŭl
발레	balle
「미망」	'mimang'
월간	wŏlgan
섭리	sŏmni
열풍	yŏlp'ung
쪉	tchyŏn
마사오	masao
뢵	noen
여	yŏ
쬏	tchwae
청산리	ch'ŏngsan-ni
프레젠테이션	p'ŭrejent'eisyŏn
룩셈부르크군	luksemburŭk'ŭgun
뤬	nwel
100배	100-pae
다부작	tabujak
젊은이들	chŏlmŭnidŭl
낙태죄	nakt'aejoe
관점'	kwanchŏm'
원자력	wŏnjaryŏk
기업법	kiŏppŏp
선영	sŏnyŏng
�우	sŏnu
컮	k'ŏm
미신	misin
돋는다	tonnŭnda
사범	sabŏm
만났습니다	mannatsŭmnida
가다.	kada.
옥포동	okp'o-dong
잡았나?	chabanna?
예술학	yesurhak
25년간	25-yŏn'gan
쑖	ssyop
컬렉션	k'ŏlleksyŏn
왯	waet
한시집	hansijip
벼슬	pyŏsŭl
석해	sŏkhae
몽테뉴	mongt'enyu
모더니즘	modŏnijŭm
보스턴	posŭt'ŏn
블로깅	bŭlloging
핍	p'ip
타당화	t'adanghwa
후원	huwŏn
베르그송	perŭgŭsong
지켜주는	chik'yŏjunŭn
중층성	chungch'ŭngsŏng
맡긴	matkin
벵	peng
봉황	ponghwang
순봉	sunbong
협의회	hyŏbŭihoe
씌어지지	ssŭiŏjiji
에프	epu
닏	it
포박	p'obak
혜림	hyerim
이본	ibon
무지	muji
최고다!	ch'oegoda!
14일.	14-il.
탐구자	t'amguja
대관	taegwan
싸워야	ssawŏya
욙	yon
타다	t'ada
종요	chongyo
신증	sinjŭng
올해	orhae
천로	ch'ŏllo
뚫	ttul
쇼콜라	syok'olla
학구	hakgu
슬기로운	sŭlgiroun
15-20세기	15-20-segi
왔나?	wanna?
기업소	kiŏpso
유도	yudo
촒	ch'om
기초적	kich'ojŏk
희림	hŭirim
규환	kyuhwan
뢏	nwat
기행.	kihaeng.
유량동	yuryang-dong
어룬춘족	ŏrunch'unjok
한영	hanyŏng
관저	kwanjŏ
조레스	choresŭ
뵊	poek
만공	mangong
띸	ttik
쓴맛	ssŭnmat
입국론	ipkungnon
숯	sut
뫱	mwaep
하마시타	hamasit'a
띞	ttŭip
해방	haebang
이신	isin
만대	mandae
32명	32-myŏng
길언	kirŏn
완우	wanu
리기	igi
90문	90-mun
리플	rip'ŭl
남평	namp'yŏng
프라다	p'ŭrada
뀹	kkyup
마불	mabul
요우커	youk'ŏ
입니까	imnikka
13일	13-il
납골당	napkoltang
일탈	ilt'al
・사진	;sajin
본색	ponsaek
범선	pŏmsŏn
보드래	podŭrae
1970-1980년대	1970-1980--yŏndae
긕	kik
무각	mugak
무식	musik
뻓	ppŏk
버티게	pŏt'ige
전객사	chŏngaeksa
형두	hyŏngdu
야마다	yamada
전거리	chŏn'gŏ-ri
공민권	kongminkwŏn
퇴임	t'oeim
조규	chogyu
송순	songsun
지킨다	chik'inda
쳇바퀴	ch'etbakwi
북녁	pungnyŏk
빈터	pint'ŏ
예술론	yesullon
비명	pimyŏng
춘실	ch'unsil
면주	myŏnju
쿀	k'oek
통문관	t'ongmunʼgwan
은집	ŭnjip
눈먼	nunmŏn
선가	sŏn'ga
화용도	hwayongdo
진입	chinip
퍜	p'yak
뛓	ttwŏ
농가	nongga
향기골	hyanggikol
뤽	nwik
덿	tel
뛝	ttwek
탣	t'aet
아이들...	aidŭl...
한림	hallim
'사회적	'sahoejŏk
훔쳐	humch'yŏ
2주기	2-chugi
외고	oego
장인(장인	changin
쇼난	syonan
도령	toryŏng
쳗	ch'ŏt
막후	makhu
미츠이에	mich'ŭie
고려인	koryŏin
칠드런	ch'ildŭrŏn
향사	hyangsa
뵮	pyom
슈스이	syusŭi
청하	ch'ŏngha
난지도	nanjido
실증주의	silchŭngjuŭi
부자유한	pujayuhan
관람객	kwallamgaek
풀이	p'uri
퇄	t'wal
복합성	pokhapsŏng
이야.	iya.
헧	hek
닑	ik
은근한	ŭnʼgŭnhan
신약	sinyak
43인	43-in
평가사	p'yŏngkasa
귀덕	kwidŏk
루이비통	ruibit'ong
쨋	tchaet
주교	chugyo
응원석	ŭngwŏnsŏk
울린다	ullinda
장기수'	changgisu'
턑	t'at
뵥	pyok
알았지	aratchi
여러가지	yŏrŏgaji
처세	ch'ŏse
꺸	kkyaek
단추	tanch'u
강홍	kanghong
보노보들	ponobodŭl
음성	ŭmsŏng
3세계	segye
기본법	kibonpŏp
쑡	ssyot
지훈	chihun
믿을	midŭl
얰	yaek
화중	hwajung
사건사	sakŏnsa
기념비	kinyŏmbi
모의	moŭi
콘스탄티누스	k'onsŭt'ant'inusŭ
쇳	soet
조형미	chohyŏngmi
깒	kkan
짯	tchat
상징'	sangjing
꾝	kkyok
북강원	puk-kangwŏn
저하	chŏha
66명	66-myŏng
선원사	sŏnwŏnsa
뻔	ppŏn
연구.	yŏn'gu.
내려올	naeryŏol
슎	sun
걽	kŏl
우스다	usŭda
단지	tanji
대연	taeyŏn
"""고려사""."	"""koryŏsa""."
배수첩들	paesuch'ŏptŭl
뼎	ppyŏn
문희	munhŭi
들자	tŭlja
쓴	ssŭn
재미론	chaemiron
운양	unyang
양명	yangmyŏng
반골	panʼgol
섰	sŏt
붙은	put'ŭn
웅석	ungsŏk
열쇠	yŏlsoe
홍학	honghak
가노	kano
불퉁	pult'ung
쏺	sswan
법칙	pŏpch'ik
겨눈	kyŏnun
먹을	mŏgŭl
보들레르	podŭllerŭ
웦	wŏp
'피노키오	'p'inok'io
도하전	tohajŏn
순제	sunje
아이들	aidŭl
것들로	kŏttŭllo
희곡선	hŭigoksŏn
꼼꼼히	kkomkkomhi
옥사	oksa
끊	kkŭn
불확실성	purhwaksilsŏng
팟	p'at
창애	ch'angae
광연	kwangyŏn
켧	k'yŏp
경기도청	kyonggidoch'ŏng
'집단'	'chiptan'
붟	pwŏk
혜심	hyesim
귓전	kwitchŏn
도덕관	todŏkkwan
꿣	kkwŏl
부자	puja
치세	ch'ise
비법	pipŏp
재벌사	chaebŏlsa
병조	pyŏngjo
이시이	isii
익재	ikchae
숨어있는	sumŏinnŭn
종묘	chongmyo
레프트	lep'ŭt'ŭ
사실기	sasilgi
경학	kyŏnghak
븉	pyut
나카노	nak'ano
츂	ch'wip
덕교	tŏkkyo
시크릿	sik'ŭrit
사서국	sasŏguk
몰상식	molsangsik
웺	wep
퐳	p'wael
오감도	ogamdo
퐔	p'wal
비구름	pigurŭm
노흥	nohŭng
밀사	milsa
쬅	tchwaep
산당들	sandangdŭl
라하트	rahat'ŭ
자치부	chach'ibu
롢	non
택화	t'aekhwa
싸이코	ssaik'o
경보	kyŏngbo
울릴	ullil
씡	ssŭing
침탈사	ch'imt'alsa
아프레게르	ap'ŭregerŭ
뻊	ppyaet
여동	yŏdong
다변화	tabyŏnhwa
심성사	simsŏngsa
틀	t'ŭl
기원들	kiwŏndŭl
페터	p'et'ŏ
깻	kkaet
몽고	monggo
언어학	ŏnŏhak
움직이다	umjigida
쾓	k'waet
뛧	ttwet
이르기	irŭgi
환장	hwanjang
맋	mak
뉴스룸	nyusŭrum
탢	t'aen
댘	taek
'심문(심문)'	'simmun'
억눌려	ŏngnullyŏ
석성	sŏksŏng
38강	38-kang
187장	187-chang
치른	ch'irŭn
후후후	huhuhu
못난이	monnani
헡	hŏt
오만한	omanhan
신예상	sinyesang
귁	kwik
날다	nalda
흥보가	hungboga
여귀	yŏgwi
대전쟁	taejŏnjaeng
영화들	yŏnghwadŭl
북원록	pugwŏnnok
캐빈	k'aebin
사료적	saryojŏk
콗	k'ok
안태	ant'ae
주소서	chusosŏ
정조관	chŏngjogwan
먞	myaek
지워진	chiwŏjin
창조주	ch'angjoju
신갑	singap
절대	chŏltae
쥿	chut
모린	morin
반영	panyŏng
소위	sowi
117년사	117-yŏnsa
일권	ilgwŏn
챔피언들	ch'aemp'iŏndŭl
초본	ch'obon
외치다	oech'ida
최전방	ch'oejŏnbang
대책	taech'aek
틜	t'il
뇯	yot
학	hak
뚡	ttun
닕	il
길남	kilnam
오백	obaek
일선	ilsŏn
추이	ch'ui
초	ch'o
양형	yanghyŏng
열차	yŏlch'a
메이드	meidŭ
먹으라	mŏgŭra
만오재	manojae
동준	tongjun
욱승	uksŭng
금석학	kŭmsŏkhak
벫	pep
이론서	ironsŏ
꿯	kkwŏ
풣	p'wŏl
휴식처	hyusikch'ŏ
애완	aewan
도학파	tohakp'a
촃	ch'et
중단	chungdan
영호남	yŏng-honam
퀲	k'wep
호승	hosŭng
도로고	torogo
5남매	5-nammae
빠리	ppari
파이어스톤	p'aiŏs'ŭt'on
노트북	notubuk
철석	ch'ŏlsŏk
5인	5in
롇	yet
개들	kaedŭl
살았나?	saranna?
멀티	mŏlt'i
백단들	paektandŭl
태후	t'aehu
발행인	parhaengin
먃	myak
긡	kil
소나무	sonamu
나주	naju
승업	sŭngŏp
랐	nat
돌아	tora
치욱	ch'iuk
뷅	pwel
심춘	simch'un
경안	kyŏngan
기술인	kisurin
「어머니」	"""ŏmŏni"""
여럿	yŏrŏt
관심사	kwansimsa
피해자	p'ihaeja
합법적	happŏpchŏk
패키지	p'aek'iji
껠	kkel
가리고	karigo
속이지	sogiji
진덕	chindŏk
읬	ŭit
180명	180-myŏng
탷	t'ae
큵	k'ŭk
농업사	nongŏpsa
지복	chibok
영웅주의	yŏngungjuŭi
숃	sot
놀이터.	norit'ŏ.
역사다	yŏksada
스테파네트	sŭt'ep'anet'ŭ
탍	t'al
라는	ranŭn
충청북도	ch'ungch'ŏng-pukto
아를다움	arŭmdaum
쮋	tchwep
증손녀	chŭngsonnyŏ
야구부	yagubu
무가	muga
민이	mini
12가지	12-kaji
수출입	such'urip
대안적	taeanjŏk
넼	nek
몥	myet
다희	tahŭi
폻	p'ol
콓	k'ye
불굴	pulgul
규창	kyuch'ang
사주	saju
철	ch'ŏl
넘나들기	nŏmnadŭlgi
폱	p'on
국문학사	kungmunhaksa
욕심	yoksim
민용	minyong
정리론	chŏngniron
걸친	kŏlch'in
반감	panʼgam
돌절구	toljŏlgu
레미제라블	lemijerabŭl
선덕	sŏndŏk
쭑	tchuk
외국인	oegugin
퓨	p'yu
보아야	poaya
23호	23-ho
공헌	konghŏn
꼬레	kkore
똖	tton
비대칭	pidaech'ing
쪶	tchyet
시네마톡	sinemat'ok
옳다	olt'a
클린튼	k'ŭllint'ŭn
곤상	konsang
기상도	kisangdo
찬반	ch'anban
현균	hyŏngyun
중달	chungdal
건호	kŏnho
분단된	pundandoen
연구진	yŏnʼgujin
혁률	hyŏngnyul
변호사	pyŏnhosa
종춘	chongch'un
샤브쉬나	syabŭswina
회화적	hoehwajŏk
저성장론	chŏsŏngjangnon
도시	tosi
남・북한	nam-pukhan
빚더미	pittŏmi
쎯	ssyŏl
잡았다	chabatta
태	t'ae
오세요	oseyo
훔볼트	humbolt'ŭ
피다	p'ida
즵	chip
평화를	p'yŏnghwarŭl
뒻	twit
주송	chusong
궁통	kungt'ong
슍	sun
무엇인가	muŏsinʼga
궆	kup
투항	t'uhang
어른	ŏrŭn
복면	pongmyŏn
중추원	chungch'uwŏn
사회과	sahoekwa
뻣	ppŏt
감칠맛	kamch'ilmat
본일	ponil
쥡	chang
강경	kanggyŏng
뿣	pput
륜리학	yullihak
냶	nyaem
끅	kkŭk
성품	sŏngp'um
동생	tongsaeng
윤회	yunhoe
2002년	2002-yŏn
생존	saengjon
턂	t'am
연희학	yŏnhŭihak
만나요	mannayo
퓁	p'wep
딜레마	tillema
설립	sŏllip
정일	chŏngil
반가	panʼga
월보	wŏlbo
탈근대	t'algŭndae
고사기	kosagi
순율	sunyul
맛집	matchip
채청	ch'aech'ŏng
홓	ho
녒	yŏp
뷂	pwem
답산기	tapsanʼgi
한객	han'gaek
대불황	taeburhwang
지봉	chibong
목조	mokcho
쵁	ch'waek
산온	sanon
화계사	hwagyesa
췒	ch'wen
것이었다	kŏsiŏtta
창세	ch'angse
킬로미터	k'illomit'ŏ
현명	hyŏnmyŏng
"밥상"""	"papsang"""
뼏	ppyŏt
환몽	hwanmong
예지	yeji
던지는	tŏnjinŭn
자폐성	chap'yesŏng
핂	p'in
고파요	kop'ayo
있다면	ittamyŏn
중독된	chungdoktoen
오오타니	oot'ani
망간	manggan
담장	tamjang
가다	kada
애순	aesun
훍	huk
변호한	pyŏnhohan
의안과	ŭiankwa
비욘드	piyondŭ
쿭	k'ul
적당한	chŏktanghan
자긍심	chagŭngsim
모음.	moŭm.
즂	chut
만물	manmul
건대	kŏndae
비종교인	pijonggyoin
생중계!	saengjunggye!
대조표	taejop'yo
발광	palgwang
고잔동	kojandong
명배	myŏngbae
샴	sam
종교관	chonggyogwan
기림	kirim
정근	chŏnggŭn
쑆	ssoep
염리동	yŏmni-dong
햾	hyaep
일본'	ilbon'
'이상	'isang
선순환	sŏnsunhwan
애숙	aesuk
일기	ilgi
누나	nuna
만금	mangŭm
국제전적	kukchejŏnjŏk
재	chae
40일	40-il
묤	myol
쫲	tchwap
속는	songnŭn
가르치는	karŭch'inŭn
종욱	chonguk
따끔한	ttakkŭmhan
바꿔	pakkwŏ
민초	minch'o
눌변	nulbyŏn
슑	suk
경복	kyŏngbok
삼석	samsŏk
겆	kŏt
스크램블	sukuraembul
뺾	ppyaem
위조	wijo
대표	taep'yo
디카	tik'a
쥻	chul
평가팀	p'yŏngka-t'im
츏	ch'up
됓	twaet
설비	sŏlbi
입사장	ipsajang
후백제	hubaekche
동극	tonggŭk
석양	sŏgyang
통계학	t'onggyehak
고만녜	komannye
선각자	sŏn'gakcha
서학	sŏhak
빅딜	biktil
기경	kigyŏng
동질성	tongjilsŏng
번개	pŏn'gae
명석	myŏngsŏk
폴란드	p'ollandŭ
캵	k'yak
자정	chajŏng
잡지.	chapchi
꾸는가	kkunŭn'ga
햜	hyal
구속	kusok
언어학적	ŏnŏhakchŏk
넪	nen
독자	tokcha
"""포스트"	"""p'osŭt'ŭ"
쨜	tchyal
죽였을까	chugyŏssŭlkka
'제국	'cheguk
11회	11-hoe
일국사	ilguksa
대봉	taebong
먧	myaep
연수소	yŏnsuso
14대	14-tae
먣	myaet
성자들	sŏngjadŭl
병술	pyŏngsul
학계	hakkye
선금	sŏngŭm
결전	kyŏlchŏn
적후	chŏkhu
눈부시다	nunbusida
참전사	ch'amjŏnsa
미・북	mi-puk
쏂	ssyen
종길	chonggil
퍓	p'yal
보리스	porisŭ
형권	hyŏnggwŏn
정전	chŏngjŏn
예일	yeil
주목	chumok
질서	chilsŏ
관장	kwanjang
뱹	pyaep
잔잔한	chanjanhan
장관들	changgwandŭl
호정	hojŏng
뢦	nwaep
좋아도	choado
릴리어스	liliŏsŭ
나물이	namuri
택림	t'aengnim
'소년'	'sonyŏn'
고희	kohŭi
넻	net
심학	simhak
대설	taesŏl
만호	manho
셋째	setchae
북풍	pukp'ung
쥬교	chyugyo
비리	piri
영술	yŏngsul
부고	pugo
사회주의화	sahoejuŭihwa
세원	sewŏn
돊	ton
팔방	p'albang
떩	ttŏk
팿	p'aet
버핏	pŏp'it
빚기	pitki
화제작	hwajejak
릖	nin
2007년도	2007-yŏndo
산청	sanch'ŏng
민홍	minhong
대면	taemyŏn
호곡	hogok
상속	sangsok
전시	chŏnsi
둆	top
공연학	kongyŏnhak
쓬	ssyuk
예학	yehak
포기	p'ogi
음악론	ŭmangnon
혜승	hyesŭng
자유	chayu
함박눈	hambangnun
아카이브즈	ak'aibŭjŭ
내린다	naerinda
총수들	ch'ongsudŭl
슐	sul
쨼	tchyael
강연집	kangyŏnjip
주민주의	chuminjuŭi
겸한	kyŏmhan
뭉치면	mungch'imyŏn
친구.	ch'in'gu.
츞	ch'up
1000곳!	1000-kot!
3인	3in
안산시	ansan-si
씌	ssŭi
인걸	ingŏl
살인.	sarin
검색창	kŏmsaekch'ang
썗	ssyaep
요성	yosŏng
헬로	hello
체계론	ch'egyeron
특허	t'ŭkhŏ
낙규	nakkyu
비석	pisŏk
졸업	chorŏp
않겠습니다	ank'etsŭmnida
한국학들	han'gukhaktŭl
닭	tak
현덕	hyŏndŏk
칠면조	ch'ilmyŏnjo
이었다	iŏtta
풍속화	p'ungsokhwa
저울	chŏul
감리교	kamnigyo
청(청	ch'ŏng
생불	saengbul
새납	saenap
한・러	han-rŏ
쯥	tchŭp
사친	sach'in
히로타다	hirot'ada
덲	tek
뺚	ppyak
평점	p'yŏngchŏm
스태프	sŭt'aep'ŭ
600년	600-yŏn
법과	pŏpkwa
인물화	inmurhwa
쿩	k'uk
